Time,I(L),REF1,REF84m,VC
0.00147,0.0841182,1,0.084,1.00009
0.00148,0.0840731,1,0.084,1.00081
0.00149,0.0839621,1,0.084,1.00141
0.0015,0.0838008,1,0.084,1.00182
0.00151,0.0836084,1,0.084,1.00203
0.00152,0.0834051,1,0.084,1.00203
0.00153,0.083211,1,0.084,1.00185
0.00154,0.0830436,1,0.084,1.0015
0.00155,0.0829164,1,0.084,1.00104
0.00156,0.0828382,1,0.084,1.00052
0.00157,0.0828125,1,0.084,0.999992
0.00158,0.0828377,1,0.084,0.999505
0.00159,0.0829074,1,0.084,0.999102
0.0016,0.0830115,1,0.084,0.998815
0.00161,0.0831377,1,0.084,0.998661
0.00162,0.0832724,1,0.084,0.998645
0.00163,0.0834023,1,0.084,0.998757
0.00164,0.0835155,1,0.084,0.998977
0.00165,0.0836028,1,0.084,0.999276
0.00166,0.0836581,1,0.084,0.999619
0.00167,0.0836786,1,0.084,0.999971
0.00168,0.0836651,1,0.084,1.0003
0.00169,0.0836215,1,0.084,1.00057
0.0017,0.0835544,1,0.084,1.00077
0.00171,0.0834718,1,0.084,1.00088
0.00172,0.0833826,1,0.084,1.0009
0.00173,0.0832958,1,0.084,1.00083
0.00174,0.0832193,1,0.084,1.0007
0.00175,0.0831595,1,0.084,1.0005
0.00176,0.0831206,1,0.084,1.00028
0.00177,0.0831047,1,0.084,1.00004
0.00178,0.0831115,1,0.084,0.999822
0.00179,0.0831386,1,0.084,0.999637
0.0018,0.0831818,1,0.084,0.999499
0.00181,0.0832358,1,0.084,0.99942
0.00182,0.0832948,1,0.084,0.999401
0.00183,0.0833527,1,0.084,0.99944
0.00184,0.0834044,1,0.084,0.999528
0.00185,0.0834453,1,0.084,0.999654
0.00186,0.0834725,1,0.084,0.999802
0.00187,0.0834846,1,0.084,0.999957
0.00188,0.0834815,1,0.084,1.0001
0.00189,0.0834648,1,0.084,1.00023
0.0019,0.0834371,1,0.084,1.00032
0.00191,0.0834018,1,0.084,1.00038
0.00192,0.0833628,1,0.084,1.0004
0.00193,0.0833241,1,0.084,1.00038
0.00194,0.0832894,1,0.084,1.00032
0.00195,0.0832614,1,0.084,1.00024
0.00196,0.0832424,1,0.084,1.00014
0.00197,0.0832334,1,0.084,1.00004
0.00198,0.0832344,1,0.084,0.99994
0.00199,0.0832447,1,0.084,0.999855
0.002,0.0832625,1,0.084,0.99979
